"visit_dates","visitors_count","utm_source","utm_medium","utm_campaign","total_cost","leads_count","purchases_count","revenue"
2023-06-01 00:00:00.000,321943,yandex,cpc,prof-frontend,177251592,321943,49785,4747298460
2023-06-01 00:00:00.000,190145,yandex,cpc,prof-python,106556680,190145,26844,2135742195
2023-06-01 00:00:00.000,120120,yandex,cpc,freemium,66231528,120120,23660,1571312470
2023-06-01 00:00:00.000,115968,yandex,cpc,prof-java,63434944,115968,9060,645048444
2023-06-01 00:00:00.000,11470,yandex,cpc,base-python,6418205,11470,2480,169857680
2023-06-01 00:00:00.000,18684,yandex,cpc,base-frontend,10328850,18684,1384,111465630
2023-06-01 00:00:00.000,24050,vk,cpc,freemium-frontend,10239190,15540,1665,102153485
2023-06-01 00:00:00.000,16929,vk,cpc,prof-python,14389452,11457,1197,100548684
2023-06-01 00:00:00.000,6137,yandex,cpc,prof-data-analytics,3425619,6137,722,79515304
2023-06-01 00:00:00.000,18095,vk,cpc,prof-data-analytics,8228528,13395,1175,59559340
2023-06-01 00:00:00.000,13137,vk,cpc,prof-java,11549859,8154,453,57971618
2023-06-01 00:00:00.000,8164,yandex,cpc,base-java,4691362,8164,628,52752000
2023-06-01 00:00:00.000,5575,yandex,cpc,prof-professions-brand,3084375,5575,892,51358461
2023-06-01 00:00:00.000,11792,vk,cpc,freemium-python,4335302,7920,528,43856736
2023-06-01 00:00:00.000,830,yandex,cpc,dod-frontend,486150,830,249,16851905
